Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,672594000000000000,2015-12-04T01:51:14Z,RdotAye,RT @AlanJ5555: How come there are no white people in #TheWiz ?  Is this discrimination? #blacklivesmatter #alllivesmatter #Hypocrisy,,,,,actual,,,,https://twitter.com/RdotAye/status/672593976839524352
twitter,672592000000000000,2015-12-04T01:45:21Z,MuhammadLila,"I've lost count of all the mass shootings in the US.  Also, I'm in Iraq.  #AllLivesMatter https://t.co/q65DtOvTL1",,http://www.nbcchicago.com/news/local/Person-Shot-in-Darien-Walmart-Police-360513491.html?_osource=SocialFlowTwt_CHBrand,,,actual,,,,https://twitter.com/MuhammadLila/status/672592496145354752
twitter,672590000000000000,2015-12-04T01:33:54Z,allizeybryanna,RT @Daily_Targum: Rutgers community weighs in on use of #AllLivesMatter over #BlackLivesMatter https://t.co/wvCk4KcRmr https://t.co/uXs5t2K…,,http://goo.gl/174syj,,,actual,http://pbs.twimg.com/media/CVRrwBcWUAARbeZ.jpg,,,https://twitter.com/allizeybryanna/status/672589613287022592
twitter,672588000000000000,2015-12-04T01:27:50Z,bunnyzaurus,RT @Cruz__Missile: #LivesMatter megs99_MM: RT JoyofVegan: #farm365 #realpigfarming #pork #bacon #alllivesmatter #compassion #animalcr… http…,,,,,actual,http://pbs.twimg.com/media/COk5KUtWwAAg2iC.jpg,,,https://twitter.com/bunnyzaurus/status/672588086807687168
twitter,672585000000000000,2015-12-04T01:17:19Z,LibyanTalha,@ovoxomm how on earth is saying #AllLivesMatter offensive in any way wth,,,,,actual,,,,https://twitter.com/LibyanTalha/status/672585437907652608
twitter,672582000000000000,2015-12-04T01:04:01Z,adoseoframen,RT @KalleighS: white people were so quick to say #AllLivesMatter until it applied to non white americans #LetThemIn,,,,,actual,,,,https://twitter.com/adoseoframen/status/672582094078504960
twitter,672582000000000000,2015-12-04T01:03:44Z,DavidAHoward,"There is only one race, the human race. #AllLivesMatter #YourRacismIsShowing",,,,,actual,,,,https://twitter.com/DavidAHoward/status/672582021424799744
twitter,672581000000000000,2015-12-04T00:59:04Z,TdotMark,@LisaBloom The #AllLivesMatter folks just refuse to understand.,,,56,-106,enrichment,,,,https://twitter.com/TdotMark/status/672580846180810752
twitter,672580000000000000,2015-12-04T00:55:38Z,ADAMISAROCKGOD,RT @Cruz__Missile: #LivesMatter megs99_MM: RT JoyofVegan: #farm365 #realpigfarming #pork #bacon #alllivesmatter #compassion #animalcr… http…,,,-14,-52,enrichment,http://pbs.twimg.com/media/COk5KUtWwAAg2iC.jpg,,,https://twitter.com/ADAMISAROCKGOD/status/672579983861248000
twitter,672579000000000000,2015-12-04T00:51:31Z,ReviewsCursos,RT @UberGlamNetwork: #realtalk Do you #desire a better world? #lookinthemirror #gutcheck #life #harmony #AllLivesMatter,,,,,actual,,1,,https://twitter.com/ReviewsCursos/status/672578946437812224
